DENOMINAZIONE,INDIRIZZO,COMUNE,LOCALITA,SITO WEB,_INDIRIZZO,Position,APERTO
ANTIQUARIUM NAZIONALE DI SESTINO,Via Marche,Sestino (AR), ,,"Italia, Sestino (AR), Via Marche","43.7076205,12.2952085",SI
AREA ARCHEOLOGICA DEL SODO E TOMBA DI CAMUCIA, ,Cortona (AR) - 52044,Sodo - Camucia,http://www.cortonaweb.net/it/storia/23-tombe-etrusche-cortona,"Italia, Cortona (AR) - 52044,  ","43.27506340000001,11.98512",SI
AREA ARCHEOLOGICA DI ROSELLE,Via dei Ruderi,Grosseto (GR) - 58040,Roselle,http://www.comune.firenze.it/soggetti/sat/,"Italia, Grosseto (GR) - 58040, Via dei Ruderi","42.8349479,11.1571621",SI
AREA ARCHEOLOGICA DI VETULONIA,Vie Case di Siena,Castiglione della Pescaia (GR) - 58043,Vetulonia,http://www.gol.grosseto.it/puam/comgr/stor/archeo2/vetulon.htm,"Italia, Castiglione della Pescaia (GR) - 58043, Vie Case di Siena","42.8593375,10.9696795",SI
BASILICA DI SAN FRANCESCO - CAPPELLA BACCI,Via di San Francesco,Arezzo (AR) - 52100, ,http://www.pierodellafrancesca.it,"Italia, Arezzo (AR) - 52100, Via di San Francesco","43.4645442,11.8811481",SI
MUSEO NAZIONALE DEL BARGELLO,"Via del proconsolo, 4",Firenze (FI) - 50135, ,http://www.polomuseale.firenze.it/musei/?m=bargello,"Italia, Firenze (FI) - 50135, Via del proconsolo, 4","43.7705533,11.2579408",SI
CENACOLO DI ANDREA DEL SARTO,Via di San Salvi,Firenze (FI) - 50135, ,http://www.polomuseale.firenze.it/musei/?m=andreasarto,"Italia, Firenze (FI) - 50135, Via di San Salvi","43.7706743,11.2853314",SI
EREMO DI SAN LEONARDO AL LAGO,Santa Colomba,Monteriggioni (SI) -,S. Leonardo al Lago,http://www.sbap-si.beniculturali.it/,"Italia, Monteriggioni (SI) -, Santa Colomba","43.3264327,11.2281168",SI
EX CHIESA DEL TAU,Corso Silvano Fedi,Pistoia (PT) - 51100, ,http://www.sbap-fi.beniculturali.it/index.php?it/150/ex-chiesa-del-tau,"Italia, Pistoia (PT) - 51100, Corso Silvano Fedi","43.9307117,10.9175259",SI
FORTEZZA DI S. BARBARA,Piazza della Resistenza,Pistoia (PT) - 51100, ,http://www.ambientefi.arti.beniculturali.it,"Italia, Pistoia (PT) - 51100, Piazza della Resistenza","43.9300763,10.9208795",SI
GABINETTO DISEGNI E STAMPE DEGLI UFFIZI,"Via Della Ninna, 5",Firenze (FI) - 04015, ,http://www.polomuseale.firenze.it/musei/disegni/,"Italia, Firenze (FI) - 04015, Via Della Ninna, 5","43.7689616,11.2564535",SI
GALLERIA D'ARTE MODERNA,Piazza Pitti,Firenze (FI) - 50125,Palazzo Pitti,http://www.polomuseale.firenze.it/musei/?m=artemoderna,"Italia, Firenze (FI) - 50125, Piazza Pitti","43.7658485,11.2497504",SI
GALLERIA DEGLI UFFIZI,Piazzale degli Uffizi,Firenze (FI) - 50122, ,http://www.polomuseale.firenze.it/musei/?m=uffizi,"Italia, Firenze (FI) - 50122, Piazzale degli Uffizi","43.7685179,11.2555395",SI
GALLERIA DEL COSTUME DI PALAZZO PITTI,Piazza Pitti,Firenze (FI) - 50125, ,http://www.polomuseale.firenze.it/musei/?m=costume,"Italia, Firenze (FI) - 50125, Piazza Pitti","43.7658485,11.2497504",SI
GALLERIA DELL'ACCADEMIA,Via Ricasoli,Firenze (FI) - 50122, ,http://www.polomuseale.firenze.it/musei/?m=accademia,"Italia, Firenze (FI) - 50122, Via Ricasoli","43.775827,11.2566021",SI
GALLERIA PALATINA E APPARTAMENTI REALI,Piazza Pitti,Firenze (FI) - 50125, ,http://www.polomuseale.firenze.it/musei/?m=palatina,"Italia, Firenze (FI) - 50125, Piazza Pitti","43.7658485,11.2497504",SI
GIARDINO DELLA VILLA MEDICEA DI CASTELLO,Via di Castello,Firenze (FI) - 50141, ,http://www.polomuseale.firenze.it/musei/?m=villacastello,"Italia, Firenze (FI) - 50141, Via di Castello","43.82065859999999,11.2263469",SI
GIARDINO DELLE SCUDERIE REALI E PAGLIERE,Piazzale di Porta Romana,Firenze (FI) - 50125, ,http://www.sbap-fi.beniculturali.it/index.php?it/477/giardino-delle-scuderie-reali-e-pagliere,"Italia, Firenze (FI) - 50125, Piazzale di Porta Romana","43.7605152,11.2422002",SI
GIARDINO DELLE SCUDERIE REALI E PAGLIERE,Viale Macchiavelli,Firenze (FI) - 50125, ,http://www.sbap-fi.beniculturali.it/index.php?it/477/giardino-delle-scuderie-reali-e-pagliere,"Italia, Firenze (FI) - 50125, Viale Macchiavelli","43.7583478,11.2507585",SI
GIARDINO DI BOBOLI,Piazza Pitti,Firenze (FI) - 50125, ,http://www.polomuseale.firenze.it/musei/?m=boboli,"Italia, Firenze (FI) - 50125, Piazza Pitti","43.7657502,11.2493871",SI
MUSEO ARCHEOLOGICO DI SIENA,Piazza Duomo - Spedale di S. Maria della Scala,Siena (SI) - 53100, ,,"Italia, Siena (SI) - 53100, Piazza Duomo - Spedale di S. Maria della Scala","43.3172286,11.3283474",SI
MUSEO ARCHEOLOGICO NAZIONALE,S.S. Annunziata,Firenze (FI) - 50121, ,http://www.archeotoscana.beniculturali.it/index.php?it/146/firenze-museo-archeologico-nazionale,"Italia, Firenze (FI) - 50121, S.S. Annunziata","43.7781249,11.2600399",SI
MUSEO ARCHEOLOGICO NAZIONALE,Via della Pergola,Firenze (FI) - 50121, ,http://www.archeotoscana.beniculturali.it/index.php?it/146/firenze-museo-archeologico-nazionale,"Italia, Firenze (FI) - 50121, Via della Pergola","43.7741283,11.2620262",SI
"MUSEO ARCHEOLOGICO NAZIONALE \""GAIO CILNIO MECENATE\",Via Margaritone,Arezzo (AR) - 52100, ,http://www.archeotoscana.beniculturali.it,"Italia, Arezzo (AR) - 52100, Via Margaritone","43.4613776,11.8800467",SI
MUSEO ARCHEOLOGICO NAZIONALE DI CHIUSI,Via Porsenna,Chiusi (SI) - 53043, ,,"Italia, Chiusi (SI) - 53043, Via Porsenna","43.0159986,11.9472566",SI
MUSEO DEGLI ARGENTI,Piazza Pitti,Firenze (FI) - 50125, ,http://www.polomuseale.firenze.it/musei/?m=argenti,"Italia, Firenze (FI) - 50125, Piazza Pitti","43.7658485,11.2497504",SI
MUSEO DELLE CAPPELLE MEDICEE,Madonna Aldobrandini,Firenze (FI) -, ,http://www.polomuseale.firenze.it/musei/?m=cappellemedicee,"Italia, Firenze (FI) -, Madonna Aldobrandini","43.7749038,11.2538181",SI
MUSEO DELLE PORCELLANE,Piazza Pitti,Firenze (FI) - 50125, ,http://www.polomuseale.firenze.it/musei/?m=porcellane,"Italia, Firenze (FI) - 50125, Piazza Pitti","43.7658485,11.2497504",SI
MUSEO DELLA CASA FIORENTINA ANTICA DI PALAZZO DAVANZATI,"Via Porta Rossa, 13",Firenze (FI) - 50122, ,http://www.polomuseale.firenze.it/musei/?m=davanzati,"Italia, Firenze (FI) - 50122, Via Porta Rossa, 13","43.7701876,11.2531312",SI
MUSEO DI CASA MARTELLI,Via F. Zannetti,Firenze (FI) - 50122, ,http://www.polomuseale.firenze.it,"Italia, Firenze (FI) - 50122, Via F. Zannetti","43.773656,11.2536967",SI
MUSEO DI CASA VASARI,Via XX settembre,Arezzo (AR) - 52100, ,http://www.sbappsae-ar.beniculturali.it/,"Italia, Arezzo (AR) - 52100, Via XX settembre","43.4685612,11.8797446",SI
MUSEO EGIZIO,"Via della Colonna, 38 (presso il Museo Archeologico)",Firenze (FI) - 00040, ,http://www.archeotoscana.beniculturali.it/index.php?it/148/firenze-museo-egizio,"Italia, Firenze (FI) - 00040, Via della Colonna, 38 (presso il Museo Archeologico)","43.7710332,11.2480006",SI
MUSEO NAZIONALE D'ARTE MEDIEVALE E MODERNA,San Lorentino,Arezzo (AR) - 52100, ,http://www.sbappsae-ar.beniculturali.it/,"Italia, Arezzo (AR) - 52100, San Lorentino","43.4681059,11.8769648",SI
MUSEO NAZIONALE DELLA CERTOSA MONUMENTALE DI CALCI,Via Roma,Calci (PI) - 56011, ,http://www.sbappsae-pi.beniculturali.it/,"Italia, Calci (PI) - 56011, Via Roma","43.7234371,10.5188608",SI
MUSEO NAZIONALE DELLE RESIDENZE NAPOLEONICHE PALAZZINA DEI MULINI,Piazzale Napoleone,Portoferraio (LI) - 57037, ,http://www.sbappsae-pi.beniculturali.it/,"Italia, Portoferraio (LI) - 57037, Piazzale Napoleone","42.8160721,10.3318393",SI
MUSEO NAZIONALE DELLE RESIDENZE NAPOLEONICHE VILLA SAN MARTINO, ,Portoferraio (LI) - 57037,San Martino,http://www.sbappsae-pi.beniculturali.it,"Italia, Portoferraio (LI) - 57037,  ","42.8108565,10.3211801",SI
MUSEO NAZIONALE DI CASA GIUSTI,Via Vincenzo Martini,Monsummano Terme (PT) - 51015, ,http://www.ambientefi.arti.beniculturali.it,"Italia, Monsummano Terme (PT) - 51015, Via Vincenzo Martini","43.8746459,10.8068958",SI
MUSEO NAZIONALE DI SAN MATTEO,San Matteo in Soarta,Pisa (PI) - 56127, ,http://www.sbappsae-pi.beniculturali.it/,"Italia, Pisa (PI) - 56127, San Matteo in Soarta","43.71460039999999,10.4074404",SI
MUSEO STATALE DI PALAZZO TAGLIESCHI,Piazza Mameli,Anghiari (AR) - 52031, ,http://www.sbappsae-ar.beniculturali.it/,"Italia, Anghiari (AR) - 52031, Piazza Mameli","43.540118,12.0521585",SI
NECROPOLI DI POGGIO RENZO,Via della Pellegrina,Chiusi (SI) - 53043,Poggio Renzo,http://www.archeotoscana.beniculturali.it,"Italia, Chiusi (SI) - 53043, Via della Pellegrina","43.0155186,11.9447749",SI
ORATORIO DI SAN DESIDERIO,Laudesi,Pistoia (PT) - 51100, ,http://www.ambientefi.arti.beniculturali.it,"Italia, Pistoia (PT) - 51100, Laudesi","43.9318563,10.9216933",SI
PARCO DI VILLA IL VENTAGLIO,Via G. Aldini,Firenze (FI) - 50131, ,http://www.sbap-fi.beniculturali.it/index.php?it/146/parco-di-villa-il-ventaglio,"Italia, Firenze (FI) - 50131, Via G. Aldini","43.7856379,11.2788559",SI
PINACOTECA NAZIONALE DI SIENA,Via San Pietro,Siena (SI) - 53100, ,http://pinacotecanazionale.siena.it/,"Italia, Siena (SI) - 53100, Via San Pietro","43.3155724,11.3304828",SI
TOMBA DELLA SCIMMIA, ,Chiusi (SI) - 53035,Santa Colomba - Monteriggioni,,"Italia, Chiusi (SI) - 53035,  ","43.0158745,11.9467415",SI
VILLA BRANDI A VIGNANO,strada di Busseto,Siena (SI), ,http://www.spsae-si.beniculturali.it/index.php?it/200/villa-brandi-a-vignano,"Italia, Siena (SI), strada di Busseto","43.3211258,11.3503239",SI
VILLA MEDICEA DELLA PETRAIA,Via della Petraia,Firenze (FI) - 50141,Castello,http://www.polomuseale.firenze.it/musei/?m=petraia,"Italia, Firenze (FI) - 50141, Via della Petraia","43.8146642,11.2305448",SI
VILLA MEDICEA DI CERRETO GUIDI E MUSEO STORICO DELLA CACCIA E DEL TERRITORIO,Via Ponti Medicei,Cerreto Guidi (FI) - 50050, ,http://www.polomuseale.firenze.it/musei/?m=cerretoguidi,"Italia, Cerreto Guidi (FI) - 50050, Via Ponti Medicei","43.758992,10.878987",SI
VILLA MEDICEA DI POGGIO A CAIANO,Piazza dei Medici,Poggio a Caiano (PO) - 59016, ,http://www.polomuseale.firenze.it/musei/?m=poggiocaiano,"Italia, Poggio a Caiano (PO) - 59016, Piazza dei Medici","43.8148481,11.0532948",SI
VILLA PANDOLFINI CARDUCCI,Via Guardiavia,Firenze (FI) - 50143,Soffiano,http://www.sbap-fi.beniculturali.it/index.php?it/478/complesso-monumentale-di-villa-carducci-,"Italia, Firenze (FI) - 50143, Via Guardiavia","43.76280620000001,11.2126958",SI
ZONA ARCHELOGICA DI COMEANA - TOMBA ETRUSCA DI MONTEFORTINI,Via di Montefortini,Carmignano (PO) - 59015,Comeana,,"Italia, Carmignano (PO) - 59015, Via di Montefortini","43.8143184,11.0194817",SI
